cutoff_hz,cutoff_label,model,mean_rmse,std_rmse,mean_corr,std_corr,mean_r2,std_r2
999.0,none,OLS,3.03804469565957,0.6443463422965515,0.8764464804252983,0.03166725882207097,0.6414525680706828,0.10687205544406997
999.0,none,Ridge,3.016649627830003,0.612055893407969,0.8706236616024561,0.031078169544013746,0.6496526542178943,0.08663180725836458
999.0,none,Lasso,3.058287791822173,0.5942423841276553,0.8752529837443351,0.03374232593465024,0.639436962125289,0.08530457172761484
999.0,none,ElasticNet,2.9986768821979854,0.5732046491589645,0.8729696300369837,0.0319644173208569,0.6531601324143941,0.08145584463062686
999.0,none,RF_9t_2f,3.088246239811006,0.4139962145360929,0.8475372438470774,0.051128134813812835,0.6196233985741968,0.1238915802745125
999.0,none,RF_50t,3.160786836387506,0.4612650977599625,0.8439302409486148,0.05607289110474275,0.5988212355085941,0.14648928857564253
999.0,none,RF_200t,3.138933523691762,0.45474623665344915,0.8461435259725656,0.055722791476816746,0.604322179548896,0.14465999254399342
0.003,0.003,OLS,3.0738959943461337,0.6566288852784883,0.849242172296412,0.024592202205894406,0.6335817070156476,0.11408521574934688
0.003,0.003,Ridge,3.0614483057191455,0.6915657028670614,0.8507372026569419,0.025144882157704322,0.6373408743983355,0.11729604904312797
0.003,0.003,Lasso,3.053067431016177,0.6189834922336857,0.8472303279228935,0.02629635470761074,0.6397076649802741,0.09954154023974028
0.003,0.003,ElasticNet,3.0793013807487446,0.6469169576240744,0.8499631478557039,0.025236255273619973,0.6339623821854347,0.10364789425137978
0.003,0.003,RF_9t_2f,3.0889086676840836,0.4067240676993132,0.8332452305751665,0.03316281399940898,0.6267123893339375,0.07887278507203263
0.003,0.003,RF_50t,3.23669903238724,0.45200918302401727,0.8265373325638472,0.038119755159274724,0.5804734180996078,0.14428742766929767
0.003,0.003,RF_200t,3.200771881796478,0.45481516034417047,0.8288584843431589,0.036327759023953236,0.5909035158568884,0.13545644567067439
0.005,0.005,OLS,2.8640004718199212,0.6695322745252484,0.8817275065919334,0.020304610693765813,0.6804787842707611,0.1154368988053178
0.005,0.005,Ridge,2.8257809275591237,0.6019121011409061,0.8818570973717422,0.020702958993246607,0.6917672642669004,0.08563381401176424
0.005,0.005,Lasso,2.8222589062773635,0.581627598677761,0.8798251428856934,0.022240001521367316,0.691825424539923,0.08639366606627916
0.005,0.005,ElasticNet,2.8237803901050875,0.552011896574409,0.8814320731153622,0.0210620996595471,0.692551720598968,0.07382810131413092
0.005,0.005,RF_9t_2f,2.9266453058339765,0.37370339070577346,0.8609858047279371,0.03191834668971519,0.6653475832530695,0.06834564642994598
0.005,0.005,RF_50t,3.057248775048815,0.40269563239350187,0.8519885477280978,0.034722176277862234,0.6313738884946651,0.0961631228213207
0.005,0.005,RF_200t,3.031813784532218,0.41233925974480706,0.8544209478401346,0.033075766041403935,0.6377266715423933,0.09480397626968048
0.007,0.007,OLS,2.779205932577516,0.6743592143354583,0.8940967965125602,0.02073892316930267,0.6985259363620673,0.11510996801375131
0.007,0.007,Ridge,2.740628594807377,0.604323554846313,0.8938831825729173,0.02124412184658143,0.7097582503662854,0.08565390881623512
0.007,0.007,Lasso,2.7390169346988653,0.5888190211625769,0.8926324826027496,0.0225327746762257,0.709332396510117,0.08736165772618763
0.007,0.007,ElasticNet,2.741525405387982,0.55490234935465,0.8936922087116387,0.02146080238992187,0.7098558837734444,0.07473467649866715
0.007,0.007,RF_9t_2f,2.8253555849119847,0.3845002740550581,0.8695281916329016,0.04082193629982373,0.6850335742026357,0.08335926267187455
0.007,0.007,RF_50t,2.93459073973548,0.41575220994434,0.8673049082085893,0.04302621172372436,0.6601088661565091,0.09187373166160732
0.007,0.007,RF_200t,2.9210823418256946,0.4128113713721862,0.8675830830705313,0.04363051771292802,0.6637821445178672,0.08928157515849401
0.008,0.008,OLS,2.7652350547423903,0.6732516868972965,0.8963170738297059,0.021142701030542794,0.7015792785539479,0.11416019001853615
0.008,0.008,Ridge,2.726881346508481,0.6043218900538241,0.8960275796960435,0.02165727022722548,0.7126676317252696,0.08543575187222016
0.008,0.008,Lasso,2.7392702712317627,0.6293339896307938,0.8951861872792835,0.022897398755788514,0.7086474709000375,0.09853739666273163
0.008,0.008,ElasticNet,2.728996012071729,0.5552832691302075,0.8959334508017556,0.0218048181271012,0.712488271317878,0.07476540420929437
0.008,0.008,RF_9t_2f,2.8043743319808256,0.426332393236963,0.8810508514733733,0.03605865559345304,0.6941643081348747,0.0646473688458748
0.008,0.008,RF_50t,2.9531235967334015,0.4196548755628752,0.8680316957014695,0.04401765518224725,0.6545650599559782,0.09920757234701737
0.008,0.008,RF_200t,2.9513039033018327,0.4346922724271669,0.8684805315425344,0.04295997846673012,0.6551710339423616,0.09934669577153105
0.009,0.009,OLS,2.7620075920012264,0.6718565909628395,0.8971539957103062,0.02153304873830671,0.7024053432246777,0.11326073684341703
0.009,0.009,Ridge,2.7102491812225855,0.5872881116172157,0.8969201908066782,0.022154123283748297,0.716320458394091,0.08201090985215377
0.009,0.009,Lasso,2.7371822279069127,0.6296624020296099,0.8962366974894471,0.023143894041601373,0.7091873945522038,0.09813876230254312
0.009,0.009,ElasticNet,2.726988322246994,0.5555063545750173,0.89678532729613,0.022107207017535258,0.712960823498348,0.07467318409719319
0.009,0.009,RF_9t_2f,2.8133539633685873,0.44525426942420765,0.8761994558458613,0.040995982042238616,0.6889762244456975,0.08015440286195709
0.009,0.009,RF_50t,2.9691999206350097,0.4202741464539207,0.8671680420124221,0.046889232382331635,0.648173617141505,0.11483987984135416
0.009,0.009,RF_200t,2.9615359995316646,0.4275261364972937,0.8676451868445407,0.04942236937380248,0.6489932428006052,0.12120708936548863
0.01,0.01,OLS,2.7652808940901163,0.6708105583644589,0.8971796086963267,0.021929294061287845,0.7018619335873889,0.1125856974518772
0.01,0.01,Ridge,2.713854301714985,0.5875578651876255,0.8968824253580456,0.022520930763726937,0.7156561518147532,0.08183183946244196
0.01,0.01,Lasso,2.7411210458603614,0.629484494984737,0.896448197171852,0.023400788628722947,0.7084870339717824,0.09766467343439596
0.01,0.01,ElasticNet,2.731223767467542,0.5557807747084952,0.8968042800797629,0.02239731144776642,0.7121470282453559,0.07455818812179207
