participant,rmse,correlation,r2_score
1,2.4675418981000896,0.9114721959842447,0.7029359723188517
2,2.1987458512794373,0.8889738263685938,0.7232745949257844
3,2.6310569477032284,0.8842129911948878,0.6857387541617626
4,2.29377164901814,0.8843089008920022,0.7794583808581151
5,2.783768184588069,0.8781510190483937,0.7323872795985373
6,2.0081679550838296,0.925030852754608,0.8069331067804949
7,2.6035632358019694,0.8445120869581821,0.6247010473617175
8,3.3303841912304035,0.9084601559091035,0.6289684940243638
9,2.368473692082457,0.9188115748581717,0.8035029261130904
10,2.162194582768852,0.8856203477524445,0.7818929607602463
11,2.7977032684620835,0.8859436543800112,0.7173460060021499
12,3.1449511815839464,0.9214687416740213,0.6899731530620661
13,2.9532316409983674,0.880884336584776,0.7578921298763699
14,4.918627943503872,0.910500455935349,0.3114733095681539
15,2.41829219924778,0.8901786028235488,0.7467648736161532
16,3.2039468564896643,0.9349529242329624,0.7258878296802802
