participant,rmse,correlation,r2_score
1,2.4497656668605683,0.9036506400375668,0.7072006681153244
2,2.2351394428823887,0.8899868061118844,0.7140380757397885
3,2.4214831343649283,0.8878710489466417,0.7338090853870234
4,2.3849696030004264,0.8791010156503434,0.7615727476253026
5,2.738568428581488,0.8823445088081047,0.7410071271431025
6,1.9385026532762084,0.9201560791232452,0.8200961148385087
7,2.453546726094043,0.8396297846235826,0.6667042635537357
8,3.068604592531736,0.912238468625054,0.6850047696677984
9,2.371692808080733,0.9215003450619512,0.8029684243029273
10,2.1258007897518643,0.889155756166934,0.7891734700655669
11,2.905502927852051,0.8904362201295362,0.6951442007763691
12,3.4014097133300596,0.9217952046168707,0.6373485804054821
13,2.9779960326503137,0.8890437498833277,0.7538147033841656
14,4.360520919808205,0.9038555914404555,0.45886006716673833
15,2.3935702751691355,0.8903238093102047,0.7519159960404858
16,3.265612091094436,0.9341980584645383,0.7152348089315839
