participant,rmse,correlation,r2_score
1,2.21152112002959,0.8764100506796634,0.7655420600466496
2,2.184084138997982,0.9094642890135786,0.7322766020595404
3,2.5092620306325304,0.9384957194058048,0.7153690148287242
4,2.2568672139605512,0.8974302114181397,0.7882063648380193
5,2.3209154599749517,0.9111392862762919,0.8173460814608082
6,1.9789284573846198,0.94100676189902,0.8153498995618568
7,2.7413137565726666,0.8277332513404018,0.5913773137277571
8,2.5094248918957947,0.8938864802610291,0.7921966581522324
9,2.5651177261916245,0.8938420669462563,0.7727815967575091
10,2.1526603480257913,0.9154718019800392,0.7858881260292503
11,2.858630226022138,0.8478024978908778,0.7092727331113032
12,2.428667210202411,0.9315990606067517,0.8164420385110096
13,2.5186687233242835,0.9101471697667625,0.8271613670287676
14,3.867276493448963,0.9456598028840106,0.5829435997116365
15,2.006052989093107,0.9579229863895907,0.8287031632768451
16,2.4110396300927857,0.9703793306659539,0.8483517615269633
