participant,rmse,mae,mape,r,r2,n_samples
1,2.2115211244112376,1.5555513479177379,12.841937916887794,0.876410050159295,0.765542059117595,3890.0
2,2.184084151212233,1.6839995009673627,15.883738124134636,0.9094642877603739,0.732276599065113,3687.0
3,2.5092620296074193,1.996518864519458,21.564021115956482,0.938495719248481,0.7153690150612851,4373.0
4,2.2568672136373626,1.66632577839715,12.71413276950021,0.8974302115794748,0.7882063648986779,4021.0
5,2.3209154619233097,1.6407915547104028,11.484457943755057,0.9111392860302804,0.8173460811541403,3769.0
6,1.9789284574293664,1.595235116824886,11.876140647911841,0.9410067619858439,0.8153498995535062,3995.0
7,2.7413137529026983,2.0164208173399025,15.767856910051863,0.827733251835344,0.5913773148218546,3485.0
8,2.5094248884184833,1.9722318834961434,19.907586539981168,0.8938864806372606,0.7921966587281388,4029.0
9,2.5651177190824352,1.8336517528325154,12.047825986001842,0.8938420674938818,0.7727815980169745,3844.0
10,2.1526603489745755,1.6715736387275537,13.886178662203283,0.9154718016806892,0.7858881258405109,3888.0
11,2.8586302274131574,2.148123465163685,17.460576625144594,0.8478024978061132,0.7092727328283654,3917.0
12,2.4286672136815515,1.9866071836464319,14.415495868199606,0.9315990604443471,0.8164420379851047,3427.0
13,2.5186687306576245,1.9788385860591242,15.307017778438958,0.9101471692304552,0.8271613660222956,3954.0
14,3.86727649351809,3.261503378058283,30.254630037670736,0.9456598027503195,0.5829435996967269,3783.0
15,2.0060529867754417,1.4858967380679147,10.806295835713351,0.957922986893964,0.828703163672656,3709.0
16,2.411039624826649,1.8244736504944914,12.840940625629523,0.9703793308562264,0.8483517621894165,3880.0
