participant,rmse,mae,mape,r,r2,n_samples
1,2.073048728358574,1.4857935185587976,12.4792021327713,0.8966235238029833,0.7960787091075759,3770.0
2,3.864124625588443,2.8778059622953203,24.83038357067051,0.8935399986247827,0.179311969282559,3567.0
3,2.1845638726264203,1.6985873314511024,20.09099015712876,0.9211070224891859,0.7834861267998529,4253.0
4,2.0346443528727294,1.4871355252283167,11.653694745341655,0.9209832602911806,0.8297105375526301,3901.0
5,2.2972415534587456,1.7393052464140621,12.271152155795177,0.9157376910313212,0.8219969183211083,3649.0
6,2.89476490154008,2.257218130431491,17.910440155849482,0.8004692427343614,0.6002271594449714,3875.0
7,2.431290270757196,1.8269991911891748,14.657558176651337,0.8458279013929811,0.6856396707280106,3365.0
8,2.7238148505666566,2.2213739834282777,23.598892552901493,0.8840888186873613,0.7570795697454825,3909.0
9,2.072764882193092,1.5313352003446468,11.477217789664378,0.925244890378485,0.8549514670157272,3724.0
10,2.3722077862715167,1.842623564171975,15.482830490476676,0.9063768801984661,0.7378762330688855,3768.0
11,2.7770899345033837,2.114737243086647,17.32550158555925,0.8759599961367187,0.7271866175524739,3797.0
12,2.0577174967177485,1.5324276411120263,10.884761446330707,0.9479721669812996,0.865475903810757,3307.0
13,2.7115971352156363,2.055483295293572,14.657010352237727,0.8998770208521425,0.796955555079203,3834.0
14,2.8042833414618444,2.381073025517572,23.332708489889846,0.9554078457503691,0.7847018741729583,3663.0
15,2.360621300120998,1.9176354676629261,14.077215345994027,0.9546506060418972,0.7697614928140127,3589.0
16,2.663214838168718,1.8683593050972707,13.718319928562703,0.9581468263069889,0.8200214718574296,3760.0
