participant,rmse,mae,mape,r,r2,n_samples
1,1.951422204497607,1.3243751577895666,11.277515952030576,0.9166702276038056,0.8193050416702538,3770.0
2,2.323841204937336,1.8199162822488033,16.78030967858853,0.9090814774347459,0.7031830172202175,3567.0
3,1.9560585498984517,1.5619913325742913,20.783278222722696,0.9412304184851278,0.8264119057882393,4253.0
4,1.9490261406147764,1.5095002686981713,12.319289433667594,0.9205827064082829,0.8437406232584502,3901.0
5,2.3179467281056922,1.7221455327910076,12.090853337798139,0.9284267057960893,0.8187737534901188,3649.0
6,2.3613956077727374,1.877371948271479,14.412752297471314,0.8734830488613144,0.7339739342341065,3875.0
7,2.2306009340958535,1.6920769805143587,14.655353268674737,0.8611626967533997,0.7353951074140448,3365.0
8,2.5482360196951803,2.0017517366906747,23.17830024704971,0.9253872753478598,0.7873878029264736,3909.0
9,2.4303827062892025,1.727281852790159,12.260981914356321,0.9078992877579375,0.8005828114179153,3724.0
10,2.062615681887868,1.6106857601114652,13.41548578827151,0.9217497473106263,0.8018301516445127,3768.0
11,2.477961388909827,1.8459064169648105,15.7407437239697,0.8849158756969209,0.7827924827769155,3797.0
12,3.3168052783602615,2.567448621152971,19.27065633412357,0.9209408953013978,0.6504828150322353,3307.0
13,2.643177647772837,2.140652217452037,17.83723892078745,0.9090833853653375,0.8070727893215619,3834.0
14,4.093222474597458,3.5409191101450763,34.34842172677351,0.9443390713506128,0.5413016634849545,3663.0
15,2.067078212704728,1.6267205947607093,12.29803611924301,0.963010498847308,0.8234616201062509,3589.0
16,2.1749463084383023,1.7093075891104372,12.951691479525643,0.9746805749698126,0.8799656976368624,3760.0
