number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_lr,params_num_heads,params_num_layers,params_weight_decay,state
0,2.3674425035620406,2026-03-21 20:23:05.857800,2026-03-21 20:56:43.631842,0 days 00:33:37.774042,128,0.4464704583099741,48,0.0015930522616241021,2,1,0.002136832907235877,COMPLETE
1,2.45575884526456,2026-03-21 20:56:43.642842,2026-03-21 21:33:36.069222,0 days 00:36:52.426380,128,0.34474115788895177,96,0.00019010245319870352,2,1,0.0013826232179369874,COMPLETE
2,3.137803455492339,2026-03-21 21:33:36.079222,2026-03-22 00:20:30.472254,0 days 02:46:54.393032,32,0.4795542149013333,64,0.00853618986286683,2,1,0.0005456725485601478,COMPLETE
3,2.5302126241760714,2026-03-22 00:20:30.486253,2026-03-22 00:47:01.959115,0 days 00:26:31.472862,128,0.2246844304357644,64,0.001096821720752952,2,2,0.001260466458564947,COMPLETE
4,2.500414467147451,2026-03-22 00:47:01.969112,2026-03-22 02:02:31.433482,0 days 01:15:29.464370,64,0.23013213230530574,32,0.0005989003672254305,4,1,1.329652145729951e-05,COMPLETE
5,2.598715882635879,2026-03-22 02:02:31.442483,2026-03-22 02:14:29.080401,0 days 00:11:57.637918,128,0.10220884684944097,64,0.004274869455295219,2,1,1.9777828512462715e-06,PRUNED
6,2.686734045213151,2026-03-22 02:14:29.141401,2026-03-22 02:35:32.055077,0 days 00:21:02.913676,64,0.23007332881069884,64,0.002878805718308925,2,1,3.0086868214458464e-06,PRUNED
7,2.3557400025268613,2026-03-22 02:35:32.063078,2026-03-22 03:58:24.276567,0 days 01:22:52.213489,64,0.11016765069763808,96,0.00016435497475111326,4,1,0.00010821382910613992,COMPLETE
8,2.5124039132107328,2026-03-22 03:58:24.286565,2026-03-22 04:09:32.387957,0 days 00:11:08.101392,128,0.16448851490160177,32,0.007234279845665418,2,1,0.0016394127471631608,PRUNED
9,2.4653865406189164,2026-03-22 04:09:32.395957,2026-03-22 05:12:23.821461,0 days 01:02:51.425504,64,0.1911740650167767,48,0.0007148510793512986,2,1,0.00011040511903162256,COMPLETE
10,2.396434551986367,2026-03-22 05:12:23.833463,2026-03-22 05:34:19.650378,0 days 00:21:55.816915,64,0.10556210307449919,96,0.00017421532246106046,4,1,0.00011433102586368432,PRUNED
11,2.461963906296647,2026-03-22 05:34:19.709378,2026-03-22 05:48:40.616691,0 days 00:14:20.907313,128,0.4143637184912836,48,0.002906061503432988,2,1,0.002283061601413877,PRUNED
12,2.264907468268754,2026-03-22 05:48:40.680333,2026-03-22 06:02:41.024932,0 days 00:14:00.344599,128,0.4648160385149102,48,0.000770838570726888,2,2,0.007686232483798567,PRUNED
13,2.6045979482078323,2026-03-22 06:02:41.084937,2026-03-22 08:56:38.958687,0 days 02:53:57.873750,32,0.11519745845643387,32,0.0002891321327366025,4,1,0.0017385719487383812,COMPLETE
14,2.4051530512634627,2026-03-22 08:56:38.969687,2026-03-22 10:00:26.929255,0 days 01:03:47.959568,64,0.15584889106411,96,0.00012253179994028737,2,1,1.8453351038062823e-06,COMPLETE
15,2.728876385942029,2026-03-22 10:00:26.939255,2026-03-22 10:18:41.712802,0 days 00:18:14.773547,64,0.3693192200002018,96,0.008576989810578207,4,2,0.002758959589257096,PRUNED
16,2.448094833852015,2026-03-22 10:18:41.720802,2026-03-22 10:58:05.298660,0 days 00:39:23.577858,128,0.3078178113523453,48,0.0006928885734274043,4,1,0.008797473405424795,COMPLETE
17,2.3078501965184466,2026-03-22 10:58:05.308660,2026-03-22 11:05:33.946901,0 days 00:07:28.638241,128,0.43602781868144325,32,0.0010265062300483122,2,1,0.00031901745751895013,PRUNED
18,2.390682536090624,2026-03-22 11:05:34.003901,2026-03-22 11:20:43.837584,0 days 00:15:09.833683,64,0.19309331316150963,96,0.0011373352193184709,4,1,0.008346549226801364,PRUNED
19,2.4852151811560637,2026-03-22 11:20:43.846584,2026-03-22 11:35:05.878388,0 days 00:14:22.031804,64,0.16061067043630145,96,0.0012026741885490507,4,2,5.1162769678891973e-05,PRUNED
20,2.520592077487212,2026-03-22 11:35:05.887388,2026-03-22 12:07:54.907350,0 days 00:32:49.019962,128,0.21574981584914427,96,0.000247268458205884,4,2,0.0006528930562693476,COMPLETE
21,2.381672946175598,2026-03-22 12:07:54.918351,2026-03-22 13:01:19.579927,0 days 00:53:24.661576,64,0.1469649440831666,64,0.0001049079952872847,2,1,1.7892544224023332e-06,COMPLETE
22,2.607307983281732,2026-03-22 13:01:19.589925,2026-03-22 14:37:40.921113,0 days 01:36:21.331188,32,0.15532299471530178,64,0.00022278551591060788,4,1,1.445793152358762e-06,COMPLETE
