horizon_s,persist_rmse_mean,persist_rmse_sd
1,0.33335546676915784,0.07792267051450157
2,0.5807712616715994,0.1173585222540395
3,0.7810478102292726,0.14590302972820474
5,1.1104544565712455,0.1905685797662294
8,1.5108167495892495,0.23460651986565
10,1.7279831809870405,0.24805796140910438
15,2.1158867680317366,0.2705267186469885
20,2.417024029522773,0.2970093860367111
30,2.9466257446059894,0.3727048803645963
45,3.6095503974016396,0.4860582934685663
60,4.176910063914785,0.5671927239991166
90,5.006542296552752,0.6617933290256383
120,5.4657396366371795,0.7031776854966285
180,6.201006585248352,0.7992390138498976
