model,family,trans_oracle_rmse,persist_h1_trans_oracle,skill_trans_oracle,trans_causal_rmse,persist_h1_trans_causal,skill_trans_causal
PATCHTST,Temporal,2.9754040922455878,0.5054032585890029,-4.887188184247947,2.7479943509460725,0.36742155065548715,-6.479132201264726
TCN,Temporal,2.996335381240554,0.5054032585890029,-4.928603210050121,2.7344149761861902,0.36742155065548715,-6.442173632188807
LSTM,Temporal,3.100809908427382,0.5054032585890029,-5.13531839324562,2.660215581540408,0.36742155065548715,-6.24022740852988
GRU,Temporal,3.1198220800984418,0.5054032585890029,-5.172936218908514,2.7982782812984706,0.36742155065548715,-6.615988437004547
XGB,Tree,3.122556710680878,0.5054032585890029,-5.1783470082850425,2.718037336284393,0.36742155065548715,-6.397599110436941
RF,Tree,3.1789421858249525,0.5054032585890029,-5.289912326050292,2.738336783139448,0.36742155065548715,-6.452847494258848
TFT,Temporal,3.26194972967635,0.5054032585890029,-5.454152548962862,2.797966101470091,0.36742155065548715,-6.6151387867109745
RIDGE,Linear,3.5346912159220247,0.5054032585890029,-5.9938037712504295,2.938305984087177,0.36742155065548715,-6.997097554145047
ELASTICNET,Linear,3.5442227409928595,0.5054032585890029,-6.012663018611527,2.9550396212434276,0.36742155065548715,-7.042640982739254
LASSO,Linear,3.5892375947313817,0.5054032585890029,-6.101730219848409,2.9505030615240173,0.36742155065548715,-7.0302939668624855
LINEAR,Linear,3.61705698231635,0.5054032585890029,-6.156774161715018,2.95305398944379,0.36742155065548715,-7.037236749383602
