model,family,rmse_mean,rmse_sd,ci_lo,ci_hi,rmse_pooled,rmse_steady,rmse_trans,trans_over_steady
TCN,Temporal,2.4315448180361323,0.5597285297631653,2.2007782685370487,2.728075831762923,2.4789262425917986,1.9275349941149558,2.996335381240554,1.554490782470254
PATCHTST,Temporal,2.4343656997819747,0.4401331749361105,2.232476922248123,2.660061517364912,2.457951065455338,1.942398252897646,2.9754040922455878,1.5318197943222591
XGB,Tree,2.477370617734384,0.465481666614302,2.2692942737337267,2.6883507497390697,2.510492217266689,1.9408829586371752,3.122556710680878,1.6088330812453708
GRU,Temporal,2.482598947549163,0.45192271919564525,2.2918452747824904,2.7296929242788157,2.517886541669849,1.8703631781909182,3.1198220800984418,1.6680301005048894
TFT,Temporal,2.506180797969004,0.5670690034614955,2.2536472152303917,2.7881322650312304,2.561314358341204,1.8580628767625842,3.26194972967635,1.755564771500006
RF,Tree,2.5074804058758975,0.45129785748551693,2.3002889513057965,2.7311730275781967,2.5356003267824643,1.9607810766402534,3.1789421858249525,1.621263191335968
LSTM,Temporal,2.520186866901361,0.46612616548766134,2.3186760479918758,2.755029823262615,2.557480845872532,1.9943440650552866,3.100809908427382,1.5548018833658086
RIDGE,Linear,2.7393238377188256,0.5987131586176124,2.4928960879259647,3.0612383897449194,2.792806408069544,2.139266570265683,3.5346912159220247,1.652291147373485
ELASTICNET,Linear,2.7538602236764738,0.5707509388697495,2.5056891162304016,3.0416290711643175,2.801741352101794,2.167458293356412,3.5442227409928595,1.635197665328297
LASSO,Linear,2.770036501743062,0.6284542890521189,2.501553549305902,3.0880650260855314,2.828389052737219,2.1347565843103693,3.5892375947313817,1.6813334227943748
LINEAR,Linear,2.7899955992511067,0.6981199365230382,2.5051027322733823,3.152107780897706,2.865831458350026,2.1096881683264903,3.61705698231635,1.7144983967870377
