participant,rmse_direct,rmse_ridge,rmse_resid_k1,k,rmse_resid_kLF
1,2.21152112002959,2.4410218774135477,2.328622722164655,0.6997779057965506,2.305314474271794
2,2.184084138997982,2.224515080977205,2.2779060067609103,0.7105412421303993,2.131749390815055
3,2.5092620306325304,2.639055448203236,2.1745430403226034,0.6859004473587197,2.2488165141826224
4,2.2568672139605512,2.276330036833082,2.19562672675421,0.7019103643906011,2.1489124556854216
5,2.320915459974952,2.8059918709184624,2.6325894553233633,0.7091680379203243,2.4789188060018934
6,1.97892845738462,2.0119646006456855,2.2276114068206354,0.7210493180259842,1.984017972400125
7,2.741313756572666,2.6091581169037594,2.5036590141150774,0.7053751831715805,2.4013362248702865
8,2.5094248918957947,3.3432536976768583,2.9744194343365846,0.698911309006104,2.89568411117484
9,2.5651177261916245,2.3758997476454202,2.2894765695880146,0.7168148919370558,2.0378796205670207
10,2.1526603480257918,2.171291963733822,2.168504747853541,0.7073672329472322,2.056814565476442
11,2.858630226022138,2.76461284075175,2.419320765718306,0.707181682588677,2.2422933046692064
12,2.428667210202411,3.115432823211125,2.3306600961299333,0.6922460829873899,2.235336577764645
13,2.5186687233242835,2.9395693631704845,3.0445291345199426,0.7338051827397266,2.7562658410092036
14,3.867276493448963,4.952882952780326,4.1583442524603775,0.6553775313729763,4.331419041928579
15,2.006052989093107,2.446985204142775,1.8308479550957821,0.6884054144155082,1.8842912125521363
16,2.4110396300927857,3.2233775024686704,2.4333010021812043,0.6693757924321581,2.650648005851947
