participant,rmse_direct,rmse_ridge,rmse_resid_k1,k,rmse_resid_kLF
1,2.073048731105048,2.450201616428352,2.6750587950688063,0.7496605255483493,2.49823860750237
2,3.864124636940412,2.2378738464323176,3.0896568755105362,0.799652300167065,2.768661636463377
3,2.1845638764705364,2.6592875122818125,2.503308484857528,0.7193188173042239,2.4876631112312353
4,2.0346443518587565,2.2979225727465153,2.1451401836868627,0.7216244052635139,2.1107210271872074
5,2.297241551973148,2.8388303300696,2.3935540648999907,0.7093873882927252,2.4163145192352538
6,2.8947649104713293,1.9992094629487356,2.247469355042235,0.7405421913362082,2.1098809467583752
7,2.431290272263436,2.6402903549758148,2.4142958811200974,0.7201592507135676,2.3805346537885135
8,2.7238148452670017,3.382854771433484,2.890678933449103,0.698508675806907,2.962894536783369
9,2.072764885801839,2.403263962787824,2.001796324567395,0.7155448649020925,1.98254239869305
10,2.372207787651938,2.1963080326189863,2.5283773148337794,0.7643625256907969,2.259275006608272
11,2.777089936433422,2.7718253187919166,2.192639091634928,0.7087240954586873,2.194213469751622
12,2.0577174937483504,3.085208164562791,1.906005966690774,0.7004682948763187,1.875696093292383
13,2.711597138629621,2.947614822922261,2.443205230850423,0.7018282210125977,2.515889186738331
14,2.804283340395004,4.95868856729684,4.305101603262983,0.6656886177295176,4.499714230576362
15,2.3606213092561017,2.4817046456001153,1.962733079615013,0.7137071664755948,1.9413492092614695
16,2.66321484442295,3.2447373960848442,3.0738251874586857,0.713353242738445,3.0984670386373905
