participant,rmse_direct,rmse_ridge,rmse_resid_k1,k,rmse_resid_kLF
1,2.1026612358144425,2.437332594014281,2.0624527551620573,0.7058604498220061,2.1236934545932495
2,1.821709929516656,2.2128823629704883,2.5803724040722513,0.7654932445163495,2.27317028855045
3,1.979025994964485,2.628630004871872,2.2815717548488403,0.7082883535529303,2.299241348704506
4,2.263859821184696,2.3029570114588784,2.3276378051893403,0.7334410109436387,2.1952139252315277
5,2.34761388071834,2.7942741166307994,2.7225233126704467,0.7184189747189347,2.7064157575777923
6,2.621030142416944,2.0124487572752243,2.257121225138679,0.7571923296293644,1.966156405732618
7,3.2832357832643835,2.6008714982842136,2.7205910225469245,0.7316808772731052,2.620116840750421
8,2.6253109973719466,3.328078826655287,2.8012447419696618,0.6968050048870545,2.8611117295811455
9,1.9933405349803524,2.3654661809924398,2.0026080180458155,0.7195114613810424,1.9133444217022229
10,2.2430170941183385,2.1635521513864155,2.274892779788576,0.7378437738779277,2.109607963596298
11,2.542006071460778,2.774548792814462,2.3939279208574704,0.7125049029322827,2.369200279594772
12,3.019581310157129,3.144940588710004,2.3865882902705735,0.7201431547050522,2.2009356724886557
13,2.4596988713287398,2.9226398114026155,2.709062593423815,0.7069855406470286,2.7624579657420383
14,3.162586580994103,4.926150993868447,4.19587648812533,0.6620096000122426,4.381726507921682
15,2.155168342399178,2.430159301215748,2.617543506530139,0.7391056432088613,2.4711192804707243
16,2.205282577202361,3.2209312066294276,2.492232502289109,0.6812493936701227,2.6899563323896927
