participant,rmse_direct,rmse_ridge,rmse_resid_k1,k,rmse_resid_kLF
1,1.9514222097813636,2.450201616428352,1.9998386946320241,0.4672091886582783,2.1299746173997973
2,2.3238412106499124,2.2378738464323176,2.0359324762341817,0.4727142926134864,1.994905019399906
3,1.956058549972728,2.6592875122818125,2.7462975393531064,0.4785747851928952,2.5033263633430436
4,1.9490261415433268,2.2979225727465153,2.0048381143503007,0.4706503674250204,2.078277182106994
5,2.317946736060722,2.8388303300696,2.2932353987715146,0.4633643856776938,2.4107371545633467
6,2.361395610506908,1.9992094629487356,2.2998555135570395,0.48247631874703995,1.896107922459107
7,2.2306009441793635,2.6402903549758148,2.4943472999484793,0.473142642777712,2.3801741105503265
8,2.5482360242997344,3.382854771433484,2.124380005381626,0.44177788783175476,2.7148027375572177
9,2.430382703085062,2.403263962787824,2.3043895552859928,0.4739860377224538,2.131672854555066
10,2.062615676254896,2.1963080326189863,2.631691422924863,0.48608416590491177,2.1531039172850863
11,2.477961385732851,2.7718253187919166,2.3552665269984567,0.46566113051645847,2.3455655977602574
12,3.3168052801233587,3.085208164562791,6.636819522736127,0.7561095697493968,4.808105138554673
13,2.6431776466503494,2.947614822922261,2.531569808457127,0.46571000077360253,2.6616627412820053
14,4.093222474478619,4.95868856729684,4.773924994800385,0.4683342399808604,4.8096430250558075
15,2.0670782082782027,2.4817046456001153,1.9849519833648173,0.466574786739583,2.1118595180837674
16,2.174946308463631,3.2447373960848442,2.1772764900765447,0.4494641998882008,2.710902783524611
