participant,rmse_direct,rmse_ridge,rmse_resid_k1,k,rmse_resid_kLF
1,2.266646698389386,2.450201616428352,2.3429435935300758,0.5497453126456361,2.302992184012239
2,1.9707869463976804,2.2378738464323176,2.2036063613701167,0.5528430936086928,2.1679058745261575
3,2.3304445536203224,2.6592875122818125,2.346585736209662,0.5369862021055523,2.366234368481105
4,2.4070099756584,2.2979225727465153,2.1433925099802535,0.5479909149192319,2.1003008785377593
5,3.174521315998933,2.8388303300696,3.06861378739247,0.5696747187699541,2.902172057523682
6,1.6974313899014302,1.9992094629487356,2.109767370687799,0.5599884870005303,1.9849183837538853
7,2.346990163600259,2.6402903549758148,2.5117595934760724,0.549606312596501,2.4413532926992603
8,2.4882259937245848,3.382854771433484,2.7064599898201402,0.5084743464798996,3.0128031088941305
9,2.1343185387610726,2.403263962787824,2.484489664764037,0.5622273540219421,2.2612234785294176
10,2.507148090710944,2.1963080326189863,3.7293538101476846,0.691004885535999,2.9829104206714847
11,2.574956239974053,2.7718253187919166,2.3391952226050527,0.5304522694059316,2.507285086008207
12,2.829232537850758,3.085208164562791,2.1863055240373632,0.5107849588131309,2.3374183172129013
13,2.803189177219722,2.947614822922261,3.0198106794960293,0.5679059666319707,2.697059111347826
14,3.945449451552778,4.95868856729684,5.35717103927492,0.6010031055341474,5.141657698040962
15,1.6673430953175843,2.4817046456001153,1.812178727956772,0.5258369996752634,1.999341254054237
16,2.955198578118317,3.2447373960848442,2.626233505834245,0.5154816994756974,2.8962956465299863
